t,rainfall
1000.0,6.7047799999999995
1001.0,6.36954
1002.0,5.90021
1003.0,5.22973
1004.0,4.22401
1005.0,2.88306
1006.0,1.87734
1007.0,1.0057200000000002
1008.0,0.5363800000000001
1009.0,0.07679
1010.0,0.048
1011.0,0.0288
1012.0,0.0288
1013.0,0.0288
1014.0,0.048
1015.0,0.0672
1016.0,0.09598999999999999
1017.0,0.17279
1018.0,0.26877999999999996
1019.0,0.40317000000000003
1020.0,0.54716
1021.0,0.6431600000000001
1022.0,0.7391500000000001
1023.0,0.86394
1024.0,0.9599399999999999
1025.0,0.91194
1026.0,0.8447399999999999
1027.0,0.7487499999999999
1028.0,0.60476
1029.0,0.41277
1030.0,0.26877999999999996
1031.0,0.14399
1032.0,0.07679
1033.0,0.37645
1034.0,0.23528000000000002
1035.0,0.14117000000000002
1036.0,0.14117000000000002
1037.0,0.14117000000000002
1038.0,0.23528000000000002
1039.0,0.32939
1040.0,0.47056000000000003
1041.0,0.84701
1042.0,1.31758
1043.0,1.97637
1044.0,2.68221
1045.0,3.15277
1046.0,3.6233400000000002
1047.0,4.2350699999999994
1048.0,4.705629999999999
1049.0,4.47035
1050.0,4.14096
1051.0,3.67039
1052.0,2.96455
1053.0,2.02342
1054.0,1.31758
1055.0,0.70584
1056.0,0.37645
1057.0,1.58663
1058.0,0.99164
1059.0,0.59499
1060.0,0.59499
1061.0,0.59499
1062.0,0.99164
1063.0,1.3883
1064.0,1.98328
1065.0,3.56991
1066.0,5.553190000000001
1067.0,8.329790000000001
1068.0,11.304720000000001
1069.0,13.288
1070.0,15.271279999999999
1071.0,17.849549999999997
1072.0,19.83284
1073.0,18.8412
1074.0,17.4529
1075.0,15.46961
1076.0,12.494689999999999
1077.0,8.52812
1078.0,5.553190000000001
1079.0,2.97493
1080.0,1.58663
1081.0,0.13453
1082.0,0.08407999999999999
1083.0,0.05045
1084.0,0.05045
1085.0,0.05045
1086.0,0.08407999999999999
1087.0,0.11771
1088.0,0.16815999999999998
1089.0,0.30269
1090.0,0.47085
1091.0,0.70628
1092.0,0.95852
1093.0,1.12668
1094.0,1.29484
1095.0,1.51345
1096.0,1.68162
1097.0,1.59753
1098.0,1.47982
1099.0,1.31166
1100.0,1.05942
1101.0,0.72309
1102.0,0.47085
1103.0,0.25223999999999996
1104.0,0.13453
1105.0,0.012119999999999999
1106.0,0.00758
1107.0,0.004549999999999999
1108.0,0.004549999999999999
1109.0,0.004549999999999999
1110.0,0.00758
1111.0,0.01061
1112.0,0.01515
1113.0,0.02728
1114.0,0.042429999999999995
1115.0,0.06365
1116.0,0.08638
1117.0,0.10153
1118.0,0.11669
1119.0,0.13638999999999998
1120.0,0.15154
1121.0,0.14396
1122.0,0.13336
1123.0,0.1182
1124.0,0.09547
1125.0,0.06516000000000001
1126.0,0.042429999999999995
1127.0,0.02273
1128.0,0.012119999999999999
1129.0,0.00751
1130.0,0.00469
1131.0,0.00282
1132.0,0.00282
1133.0,0.00282
1134.0,0.00469
1135.0,0.0065699999999999995
1136.0,0.00938
1137.0,0.01689
1138.0,0.02627
1139.0,0.039409999999999994
1140.0,0.053489999999999996
1141.0,0.06287
1142.0,0.07225
1143.0,0.08445000000000001
1144.0,0.09383999999999999
1145.0,0.08914
1146.0,0.08258
1147.0,0.07318999999999999
1148.0,0.059120000000000006
1149.0,0.04035
1150.0,0.02627
1151.0,0.01408
1152.0,0.00751
1153.0,0.03464
1154.0,0.021650000000000003
1155.0,0.01299
1156.0,0.01299
1157.0,0.01299
1158.0,0.021650000000000003
1159.0,0.03031
1160.0,0.043300000000000005
1161.0,0.07794999999999999
1162.0,0.12125000000000001
1163.0,0.18188
1164.0,0.24684
1165.0,0.29014
1166.0,0.33345
1167.0,0.38974000000000003
1168.0,0.43305
1169.0,0.41140000000000004
1170.0,0.38108000000000003
1171.0,0.33777999999999997
1172.0,0.27282
1173.0,0.18621
1174.0,0.12125000000000001
1175.0,0.06496
1176.0,0.03464
1177.0,0.006350000000000001
1178.0,0.0039700000000000004
1179.0,0.00238
1180.0,0.00238
1181.0,0.00238
1182.0,0.0039700000000000004
1183.0,0.00556
1184.0,0.007940000000000001
1185.0,0.01429
1186.0,0.02223
1187.0,0.03334
1188.0,0.045250000000000005
1189.0,0.053189999999999994
1190.0,0.061130000000000004
1191.0,0.07145
1192.0,0.07938
1193.0,0.07541
1194.0,0.06986
1195.0,0.06192
1196.0,0.05001
1197.0,0.03413
1198.0,0.02223
1199.0,0.011909999999999999
1200.0,0.006350000000000001
1201.0,0.062360000000000006
1202.0,0.038970000000000005
1203.0,0.02338
1204.0,0.02338
1205.0,0.02338
1206.0,0.038970000000000005
1207.0,0.05456
1208.0,0.07794999999999999
1209.0,0.14031
1210.0,0.21825999999999998
1211.0,0.32739
1212.0,0.44431
1213.0,0.52226
1214.0,0.60021
1215.0,0.7015399999999999
1216.0,0.77949
1217.0,0.7405200000000001
1218.0,0.68595
1219.0,0.608
1220.0,0.49107999999999996
1221.0,0.33518000000000003
1222.0,0.21825999999999998
1223.0,0.11692
1224.0,0.062360000000000006
1225.0,0.42841
1226.0,0.26776
1227.0,0.16065000000000002
1228.0,0.16065000000000002
1229.0,0.16065000000000002
1230.0,0.26776
1231.0,0.37486
1232.0,0.53552
1233.0,0.96393
1234.0,1.49944
1235.0,2.24916
1236.0,3.05244
1237.0,3.5879499999999998
1238.0,4.123469999999999
1239.0,4.81964
1240.0,5.35515
1241.0,5.0874
1242.0,4.712540000000001
1243.0,4.17702
1244.0,3.37375
1245.0,2.30272
1246.0,1.49944
1247.0,0.80327
1248.0,0.42841
1249.0,0.51617
1250.0,0.32260999999999995
1251.0,0.19357
1252.0,0.19357
1253.0,0.19357
1254.0,0.32260999999999995
1255.0,0.45165
1256.0,0.6452199999999999
1257.0,1.16139
1258.0,1.80661
1259.0,2.70991
1260.0,3.67774
1261.0,4.32296
1262.0,4.96818
1263.0,5.80696
1264.0,6.45218
1265.0,6.12957
1266.0,5.67792
1267.0,5.0327
1268.0,4.06487
1269.0,2.77444
1270.0,1.80661
1271.0,0.9678300000000001
1272.0,0.51617
1273.0,0.17437
1274.0,0.10898000000000001
1275.0,0.06538999999999999
1276.0,0.06538999999999999
1277.0,0.06538999999999999
1278.0,0.10898000000000001
1279.0,0.15257
1280.0,0.21796000000000001
1281.0,0.39232999999999996
1282.0,0.61029
1283.0,0.91543
1284.0,1.24237
1285.0,1.46033
1286.0,1.67829
1287.0,1.9616400000000003
1288.0,2.1795999999999998
1289.0,2.07062
1290.0,1.91804
1291.0,1.70009
1292.0,1.37315
1293.0,0.93723
1294.0,0.61029
1295.0,0.32694
1296.0,0.17437
1297.0,0.06698
1298.0,0.04186
1299.0,0.02512
1300.0,0.02512
1301.0,0.02512
1302.0,0.04186
1303.0,0.0586
1304.0,0.08372
1305.0,0.1507
1306.0,0.23441
1307.0,0.35162000000000004
1308.0,0.4772
1309.0,0.56092
1310.0,0.64464
1311.0,0.7534799999999999
1312.0,0.83719
1313.0,0.79533
1314.0,0.73673
1315.0,0.65301
1316.0,0.52743
1317.0,0.35999
1318.0,0.23441
1319.0,0.12558
1320.0,0.06698
1321.0,0.07852
1322.0,0.04908
1323.0,0.02945
1324.0,0.02945
1325.0,0.02945
1326.0,0.04908
1327.0,0.06871
1328.0,0.09815
1329.0,0.17667
1330.0,0.27482
1331.0,0.41223
1332.0,0.5594600000000001
1333.0,0.65761
1334.0,0.75576
1335.0,0.88336
1336.0,0.9815100000000001
1337.0,0.9324300000000001
1338.0,0.8637300000000001
1339.0,0.7655799999999999
1340.0,0.6183500000000001
1341.0,0.42205
1342.0,0.27482
1343.0,0.14723
1344.0,0.07852
1345.0,0.0
1346.0,0.0
1347.0,0.0
1348.0,0.0
1349.0,0.0
1350.0,0.0
1351.0,0.0
1352.0,0.0
1353.0,0.0
1354.0,0.0
1355.0,0.0
1356.0,0.0
1357.0,0.0
1358.0,0.0
1359.0,0.0
1360.0,0.0
1361.0,0.0
1362.0,0.0
1363.0,0.0
1364.0,0.0
1365.0,0.0
1366.0,0.0
1367.0,0.0
1368.0,0.0
1369.0,0.0
1370.0,0.0
1371.0,0.0
1372.0,0.0
1373.0,0.0
1374.0,0.0
1375.0,0.0
1376.0,0.0
1377.0,0.0
1378.0,0.0
1379.0,0.0
1380.0,0.0
1381.0,0.0
1382.0,0.0
1383.0,0.0
1384.0,0.0
1385.0,0.0
1386.0,0.0
1387.0,0.0
1388.0,0.0
1389.0,0.0
1390.0,0.0
1391.0,0.0
1392.0,0.0
1393.0,0.03695
1394.0,0.02309
1395.0,0.013859999999999999
1396.0,0.013859999999999999
1397.0,0.013859999999999999
1398.0,0.02309
1399.0,0.03233
1400.0,0.04618
1401.0,0.08313
1402.0,0.12932
1403.0,0.19398
1404.0,0.26325
1405.0,0.30944
1406.0,0.35562
1407.0,0.41566
1408.0,0.46185
1409.0,0.43876
1410.0,0.40643
1411.0,0.36024
1412.0,0.29096
1413.0,0.1986
1414.0,0.12932
1415.0,0.06928
1416.0,0.03695
1417.0,0.62062
1418.0,0.38789
1419.0,0.23273
