Time_days,Depth_m,Pressure_Head,FS
0.0,6.7143,-445.065,0.6654012658785224
0.0,6.7694,-444.614,0.6647917902622308
0.0,6.8244,-444.164,0.664193235771529
0.0,6.8794,-443.714,0.6636042520274006
0.0,6.9345,-443.263,0.6630235657812797
0.0,6.9895,-442.813,0.6624530638970401
0.0,7.0445,-442.363,0.6618914704104534
0.0,7.0996,-441.913,0.6613375808241904
0.0,7.1546,-441.462,0.6607932046539986
0.0,7.2096,-441.012,0.6602571342675845
0.0,7.2647,-440.562,0.659728228382254
0.0,7.3197,-440.112,0.6592082235510524
0.0,7.3748,-439.661,0.658695050637254
0.0,7.4298,-439.211,0.6581903998274111
0.0,7.4848,-438.761,0.6576931655937068
0.0,7.5399,-438.31,0.6572023012704094
0.0,7.5949,-437.86,0.6567194307425821
0.0,7.6499,-437.41,0.6562435035418652
0.0,7.705,-436.959,0.6557735241087472
0.0,7.76,-436.509,0.6553110536670071
0.0,7.815,-436.059,0.6548550927260465
0.0,7.8701,-435.609,0.6544046931000923
0.0,7.9251,-435.158,0.6539613567481941
0.0,7.9801,-434.708,0.6535241314724367
0.0,8.0352,-434.258,0.6530921130869393
0.0,8.0902,-433.807,0.652666747456707
0.0,8.1452,-433.357,0.6522471263409529
0.0,8.2003,-432.907,0.6518323864962638
0.0,8.2553,-432.457,0.6514239206550205
0.0,8.3104,-432.006,0.6510201335310422
0.0,8.3654,-431.556,0.650622383973803
0.0,8.4204,-431.106,0.6502298304228455
0.0,8.4754,-430.655,0.6498423717217601
0.0,8.5305,-430.205,0.6494592184284144
0.0,8.5855,-429.755,0.6490816651332674
0.0,8.6406,-429.305,0.6487082449731095
0.0,8.6956,-428.854,0.6483402220332958
0.0,8.7506,-428.404,0.6479768253503537
0.0,8.8057,-427.954,0.6476173198523443
0.0,8.8607,-427.503,0.6472629257983981
0.0,8.9157,-427.053,0.6469129041825031
0.0,8.9708,-426.603,0.6465665498431495
0.0,9.0258,-426.152,0.6462250413848084
0.0,9.0808,-425.702,0.6458876697789933
0.0,9.1359,-425.252,0.6455537579485399
0.0,9.1909,-424.802,0.6452244448791895
0.0,9.2459,-424.351,0.6448990497018375
0.0,9.301,-423.901,0.644576921745103
0.0,9.356,-423.451,0.6442591622861565
0.0,9.4111,-423.0,0.6439445492941595
0.0,9.4661,-422.55,0.6436341599032697
0.0,9.5211,-422.1,0.6433273565300669
0.0,9.5762,-421.65,0.6430235291421861
0.0,9.6312,-421.199,0.6427237200940152
0.0,9.6862,-420.749,0.6424273157861244
