z_m,h_m,t_hr
7.2463,-0.233,1155.0
7.2946,-0.234,1155.0
7.3429,-0.235,1155.0
7.3912,-0.237,1155.0
7.4395,-0.24,1155.0
7.4878,-0.243,1155.0
7.5361,-0.247,1155.0
7.5844,-0.253,1155.0
7.6327,-0.259,1155.0
7.681,-0.267,1155.0
7.7294,-0.277,1155.0
7.7777,-0.29,1155.0
7.826,-0.307,1155.0
7.8743,-0.328,1155.0
7.9226,-0.354,1155.0
7.9709,-0.388,1155.0
8.0192,-0.432,1155.0
8.1155,-0.559,1155.0
8.2118,-0.767,1155.0
8.3081,-1.099,1155.0
8.4044,-1.521,1155.0
8.5007,-1.932,1155.0
8.597,-2.23,1155.0
8.6933,-2.397,1155.0
8.7896,-2.481,1155.0
8.8859,-2.52,1155.0
8.9822,-2.536,1155.0
9.0785,-2.54,1155.0
9.1748,-2.539,1155.0
9.2711,-2.536,1155.0
9.3674,-2.532,1155.0
9.4637,-2.527,1155.0
9.56,-2.522,1155.0
9.6563,-2.517,1155.0
9.7526,-2.512,1155.0
9.8489,-2.507,1155.0
9.9452,-2.503,1155.0
10.0415,-2.498,1155.0
10.1378,-2.493,1155.0
10.2341,-2.488,1155.0
10.3304,-2.483,1155.0
10.4267,-2.478,1155.0
10.523,-2.474,1155.0
10.6193,-2.469,1155.0
10.7156,-2.464,1155.0
10.8118,-2.46,1155.0
10.9081,-2.455,1155.0
11.0044,-2.451,1155.0
11.1007,-2.446,1155.0
11.1971,-2.442,1155.0
11.2934,-2.438,1155.0
11.3896,-2.433,1155.0
11.4859,-2.429,1155.0
11.5822,-2.425,1155.0
11.6785,-2.421,1155.0
11.7748,-2.418,1155.0
11.8711,-2.414,1155.0
11.9674,-2.41,1155.0
12.0637,-2.405,1155.0
12.16,-2.401,1155.0
12.2563,-2.397,1155.0
12.3526,-2.392,1155.0
12.4489,-2.388,1155.0
12.5452,-2.383,1155.0
12.6415,-2.379,1155.0
12.7378,-2.374,1155.0
12.8341,-2.369,1155.0
12.9304,-2.364,1155.0
13.0267,-2.359,1155.0
13.123,-2.354,1155.0
13.2193,-2.35,1155.0
13.3156,-2.345,1155.0
13.4119,-2.34,1155.0
13.5082,-2.335,1155.0
13.6045,-2.33,1155.0
13.7008,-2.325,1155.0
13.7971,-2.32,1155.0
13.8934,-2.315,1155.0
13.9897,-2.309,1155.0
14.086,-2.304,1155.0
14.1823,-2.299,1155.0
14.2786,-2.294,1155.0
14.3749,-2.289,1155.0
14.4712,-2.284,1155.0
14.5675,-2.279,1155.0
14.6638,-2.274,1155.0
14.7601,-2.269,1155.0
14.8564,-2.264,1155.0
14.9527,-2.259,1155.0
15.049,-2.254,1155.0
15.1453,-2.249,1155.0
15.2416,-2.244,1155.0
15.3379,-2.239,1155.0
15.4342,-2.234,1155.0
15.5305,-2.228,1155.0
15.6268,-2.223,1155.0
15.7231,-2.218,1155.0
15.8194,-2.213,1155.0
15.9157,-2.208,1155.0
16.012,-2.203,1155.0
16.1083,-2.198,1155.0
16.2046,-2.193,1155.0
16.3009,-2.188,1155.0
16.3972,-2.183,1155.0
16.4935,-2.178,1155.0
16.5898,-2.173,1155.0
16.6861,-2.168,1155.0
16.7824,-2.163,1155.0
16.8787,-2.157,1155.0
16.975,-2.152,1155.0
17.0713,-2.147,1155.0
17.1675,-2.142,1155.0
17.2638,-2.137,1155.0
17.3601,-2.132,1155.0
17.4564,-2.127,1155.0
17.5527,-2.122,1155.0
17.649,-2.117,1155.0
17.7453,-2.112,1155.0
17.8416,-2.107,1155.0
17.9379,-2.102,1155.0
18.0342,-2.096,1155.0
18.1305,-2.091,1155.0
18.2268,-2.086,1155.0
18.3231,-2.081,1155.0
18.4194,-2.076,1155.0
18.5157,-2.071,1155.0
18.612,-2.066,1155.0
18.7083,-2.061,1155.0
18.8046,-2.056,1155.0
18.9009,-2.051,1155.0
18.9972,-2.046,1155.0
19.0935,-2.041,1155.0
