z_m,h_m,t_hr
52.1585,-0.25,1155.0
52.2066,-0.247,1155.0
52.2548,-0.245,1155.0
52.303,-0.242,1155.0
52.3511,-0.24,1155.0
52.3993,-0.237,1155.0
52.4474,-0.235,1155.0
52.4956,-0.232,1155.0
52.5438,-0.23,1155.0
52.5919,-0.227,1155.0
52.6401,-0.224,1155.0
52.6883,-0.222,1155.0
52.7364,-0.219,1155.0
52.7846,-0.217,1155.0
52.8327,-0.214,1155.0
52.8809,-0.212,1155.0
52.9291,-0.209,1155.0
52.9772,-0.207,1155.0
53.0254,-0.204,1155.0
53.0735,-0.202,1155.0
53.1217,-0.199,1155.0
53.1699,-0.196,1155.0
53.218,-0.194,1155.0
53.2662,-0.191,1155.0
53.3144,-0.189,1155.0
53.3625,-0.186,1155.0
53.4107,-0.184,1155.0
53.4588,-0.181,1155.0
53.507,-0.179,1155.0
53.5552,-0.176,1155.0
53.6033,-0.174,1155.0
53.6515,-0.171,1155.0
53.6996,-0.169,1155.0
53.7478,-0.166,1155.0
53.796,-0.163,1155.0
53.8441,-0.161,1155.0
53.8923,-0.158,1155.0
53.9404,-0.156,1155.0
53.9886,-0.153,1155.0
54.0368,-0.151,1155.0
54.0849,-0.148,1155.0
54.1331,-0.146,1155.0
54.1813,-0.143,1155.0
54.2294,-0.141,1155.0
54.2776,-0.138,1155.0
54.3257,-0.136,1155.0
54.3739,-0.133,1155.0
54.4221,-0.13,1155.0
54.4702,-0.128,1155.0
54.5184,-0.125,1155.0
54.5666,-0.123,1155.0
54.6147,-0.12,1155.0
54.6629,-0.118,1155.0
54.711,-0.115,1155.0
54.7592,-0.113,1155.0
54.8074,-0.11,1155.0
54.8555,-0.108,1155.0
54.9037,-0.105,1155.0
54.9518,-0.103,1155.0
