t_hours,z_meters,psi_meters,t_norm,z_norm,psi_norm,source
1293.0,0.6038,-0.363,0.4107142857142857,0.010978181818181817,0.008030231459612569,profile_snapshot
1305.0,0.4348,-0.448,0.44642857142857145,0.007905454545454545,-0.03212092583845072,profile_snapshot
1397.0,2.5603,-0.484,0.7202380952380952,0.04655090909090909,-0.04912612187057164,profile_snapshot
1327.0,2.5361,-0.39,0.5119047619047619,0.046110909090909084,-0.004723665564478119,profile_snapshot
1395.0,1.0869,-0.636,0.7142857142857143,0.019761818181818182,-0.12092583845063776,profile_snapshot
1389.0,0.6763,-0.711,0.6964285714285714,0.012296363636363637,-0.15635333018422293,profile_snapshot
1403.0,2.6569,-0.487,0.7380952380952381,0.048307272727272726,-0.050543221539915084,profile_snapshot
1383.0,1.4492,-0.554,0.6785714285714286,0.02634909090909091,-0.08219178082191791,profile_snapshot
1429.0,1.2077,-0.703,0.8154761904761905,0.021958181818181818,-0.15257439773264048,profile_snapshot
1355.0,0.9178,-0.55,0.5952380952380952,0.016687272727272728,-0.08030231459612669,profile_snapshot
1481.0,0.7488,-0.361,0.9702380952380952,0.013614545454545456,0.008974964572508348,profile_snapshot
1357.0,2.6086,-0.417,0.6011904761904762,0.04742909090909091,-0.017477562588568696,profile_snapshot
1437.0,2.7535,-0.534,0.8392857142857143,0.05006363636363636,-0.07274444969296179,profile_snapshot
1341.0,0.5797,-0.574,0.5535714285714286,0.010539999999999999,-0.09163911195087382,profile_snapshot
1331.0,1.0869,-0.463,0.5238095238095238,0.019761818181818182,-0.03920642418516773,profile_snapshot
1455.0,1.9565,-0.619,0.8928571428571429,0.03557272727272727,-0.11289560699102508,profile_snapshot
1481.0,1.1111,-0.305,0.9702380952380952,0.020201818181818182,0.03542749173358506,profile_snapshot
1351.0,0.7729,-0.559,0.5833333333333334,0.014052727272727274,-0.08455361360415692,profile_snapshot
1161.0,1.0628,-0.575,0.017857142857142856,0.019323636363636362,-0.09211147850732171,profile_snapshot
1287.0,0.9903,-0.32,0.39285714285714285,0.018005454545454543,0.02834199338686827,profile_snapshot
1377.0,1.2077,-0.569,0.6607142857142857,0.021958181818181818,-0.08927727916863493,profile_snapshot
1385.0,2.8985,-0.45,0.6845238095238095,0.0527,-0.03306565895134639,profile_snapshot
1459.0,1.3285,-0.364,0.9047619047619048,0.024154545454545456,0.0075578649031649014,profile_snapshot
1331.0,1.3768,-0.433,0.5238095238095238,0.025032727272727272,-0.025035427491733597,profile_snapshot
1359.0,1.7149,-0.476,0.6071428571428571,0.031180000000000003,-0.04534718941898919,profile_snapshot
1215.0,2.9468,-0.485,0.17857142857142858,0.053578181818181816,-0.049598488427019305,profile_snapshot
1385.0,1.7632,-0.524,0.6845238095238095,0.03205818181818182,-0.06802078412848378,profile_snapshot
1327.0,1.1594,-0.442,0.5119047619047619,0.021079999999999998,-0.029286726499763938,profile_snapshot
1447.0,0.3382,-0.355,0.8690476190476191,0.006149090909090909,0.01180916391119502,profile_snapshot
1197.0,0.6522,-0.771,0.125,0.011858181818181818,-0.1846953235710912,profile_snapshot
1337.0,0.628,-0.557,0.5416666666666666,0.011418181818181819,-0.08360888049126125,profile_snapshot
1369.0,1.1835,-0.552,0.6369047619047619,0.021518181818181818,-0.08124704770902225,profile_snapshot
1443.0,2.5361,-0.562,0.8571428571428571,0.046110909090909084,-0.08597071327350037,profile_snapshot
1481.0,2.5845,-0.36,0.9702380952380952,0.04699090909090909,0.009447331128956016,profile_snapshot
1375.0,2.4154,-0.459,0.6547619047619048,0.043916363636363635,-0.03731695795937651,profile_snapshot
1233.0,2.9709,-0.514,0.23214285714285715,0.05401636363636363,-0.06329711856400577,profile_snapshot
1287.0,0.0242,-0.346,0.39285714285714285,0.00043999999999999996,0.016060462919225138,profile_snapshot
1429.0,2.198,-0.569,0.8154761904761905,0.03996363636363636,-0.08927727916863493,profile_snapshot
1397.0,0.7488,-0.719,0.7202380952380952,0.013614545454545456,-0.16013226263580538,profile_snapshot
1345.0,0.2415,-0.594,0.5654761904761905,0.004390909090909091,-0.10108644307982995,profile_snapshot
1435.0,1.8115,-0.62,0.8333333333333334,0.03293636363636364,-0.11336797354747297,profile_snapshot
1475.0,2.6086,-0.519,0.9523809523809523,0.04742909090909091,-0.06565895134624478,profile_snapshot
1343.0,1.256,-0.481,0.5595238095238095,0.022836363636363637,-0.04770902220122819,profile_snapshot
1311.0,0.6038,-0.456,0.4642857142857143,0.010978181818181817,-0.03589985829003306,profile_snapshot
1329.0,0.0483,-0.723,0.5178571428571429,0.0008781818181818182,-0.1620217288615966,profile_snapshot
1377.0,0.0966,-0.927,0.6607142857142857,0.0017563636363636364,-0.25838450637694854,profile_snapshot
1463.0,1.8115,-0.489,0.9166666666666666,0.03293636363636364,-0.05148795465281053,profile_snapshot
1227.0,0.2898,-0.849,0.21428571428571427,0.005269090909090909,-0.22153991497401992,profile_snapshot
1227.0,0.8212,-0.797,0.21428571428571427,0.014930909090909092,-0.19697685403873422,profile_snapshot
1233.0,0.6038,-0.837,0.23214285714285715,0.010978181818181817,-0.21587151629664625,profile_snapshot
1351.0,-0.0,-0.805,0.5833333333333334,-0.0,-0.20075578649031656,profile_snapshot
